Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Latitude,Longitude,Nearest Waste Site,Nearest Site Category,Distance,Within 45 Mins?
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F6,WILLITON HOSPITAL,TA4 4RA,51.162884,-3.323221,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,34.5 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F7,SHEPTON MALLET COMMUNITY HOSPITAL,BA4 4PG,51.190569,-2.562487,Frome Clinical Waste Treatment Plant and Transfer Station,Treatment,24.8 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F8,WEST MENDIP COMMUNITY HOSPITAL,BA6 8JD,51.160472,-2.699235,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,26.5 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F9,CREWKERNE HOSPITAL,TA18 8BG,50.880112,-2.797939,South West Waste Recovery Facility,Treatment,37.0 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5G1,SOUTH PETHERTON HOSPITAL,TA13 5AR,50.953222,-2.800489,South West Waste Recovery Facility,Treatment,39.4 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5G2,WINCANTON COMMUNITY HOSPITAL,BA9 9DQ,51.058747,-2.418169,Frome Clinical Waste Treatment Plant and Transfer Station,Treatment,33.2 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5G3,DENE BARTON COMMUNITY UNIT,TA4 1DD,51.037581,-3.182221,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,32.0 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5G5,FROME COMMUNITY HOSPITAL,BA11 2FH,51.237312,-2.311565,Frome Clinical Waste Treatment Plant and Transfer Station,Treatment,3.5 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5H5,ST ANDREWS,BA5 1TH,51.202969,-2.655807,Frome Clinical Waste Treatment Plant and Transfer Station,Treatment,31.6 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5K6,BRIDGWATER COMMUNITY HOSPITAL,TA6 5AH,,,N/A,N/A,0,N/A
